file,line,pair,stems
HT13.txt,10,AB30 AB22 + AB81 AB79,"AB81 AB79, AB79 AB30, AB30 AB22"
HT13.txt,10,AB79 AB30 + AB81 AB79,"AB81 AB79, AB79 AB30, AB30 AB22"
HT13.txt,11,AB22 AB03 + AB54 AB67,"AB54 AB67, AB67 AB22, AB22 AB03"
HT13.txt,11,AB22 AB03 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT13.txt,11,AB54 AB67 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT31.txt,3,AB08 AB23 + AB23 AB22,"AB54 AB08, AB08 AB23, AB23 AB22"
HT31.txt,3,AB08 AB23 + AB54 AB08,"AB54 AB08, AB08 AB23, AB23 AB22"
HT31.txt,3,AB23 AB22 + AB54 AB08,"AB54 AB08, AB08 AB23, AB23 AB22"
HT31.txt,4,AB22 AB03 + AB54 AB67,"AB54 AB67, AB67 AB22, AB22 AB03"
HT31.txt,4,AB22 AB03 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT31.txt,4,AB54 AB67 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT31.txt,5,AB04 AB40 + AB40 AB81,"AB04 AB40, AB40 AB81, AB81 AB22"
HT31.txt,5,AB04 AB40 + AB81 AB22,"AB04 AB40, AB40 AB81, AB81 AB22"
HT31.txt,5,AB40 AB81 + AB81 AB22,"AB04 AB40, AB40 AB81, AB81 AB22"
HT31.txt,6,AB24 AB41 + AB28 AB51,"AB28 AB51, AB51 AB24, AB24 AB41"
HT31.txt,6,AB24 AB41 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT31.txt,6,AB28 AB51 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT31.txt,7,AB02 AB22 + AB22 AB67,"AB81 AB02, AB02 AB22, AB22 AB67"
HT31.txt,7,AB02 AB22 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT31.txt,7,AB22 AB67 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT31.txt,8,AB09 AB45 + AB45 AB59,"AB09 AB45, AB45 AB59, AB59 AB04"
HT31.txt,8,AB09 AB45 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
HT31.txt,8,AB45 AB59 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
HT31.txt,9,AB02 AB22 + AB22 AB28,"AB81 AB02, AB02 AB22, AB22 AB28"
HT31.txt,9,AB02 AB22 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB28"
HT31.txt,9,AB22 AB28 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB28"
HT31.txt,10,AB09 AB45 + AB40 AB09,"AB40 AB09, AB09 AB45, AB45 AB22"
HT31.txt,10,AB09 AB45 + AB45 AB22,"AB40 AB09, AB09 AB45, AB45 AB22"
HT31.txt,10,AB40 AB09 + AB45 AB22,"AB40 AB09, AB09 AB45, AB45 AB22"
HT31.txt,11,AB03 AB81 + AB22 AB03,"AB22 AB03, AB03 AB81, AB81 AB51"
HT31.txt,11,AB03 AB81 + AB81 AB51,"AB22 AB03, AB03 AB81, AB81 AB51"
