bundle,cluster,pc1,pc2
AB09 AB81 + AB45 AB09,0,-0.5915833344725726,0.09539898660210282
AB09 AB81 + AB45 AB09 + AB81 AB03,0,-0.45338472512932404,0.07282115223213592
AB09 AB81 + AB45 AB09 + AB81 AB40,0,-0.45338472512932604,0.07282115223213342
AB09 AB81 + AB81 AB03,0,-0.3095244044840374,0.049415757794095204
AB09 AB81 + AB81 AB40,0,-0.30952440448403945,0.049415757794092505
AB17 AB22 + AB22 AB40,0,-0.5152923308013405,-1.3642007117933952
AB17 AB22 + AB22 AB40 + AB27 AB17,0,-0.76616085750768,-2.031928003032784
AB17 AB22 + AB27 AB17,0,-0.5178791053040926,-1.3336771736288373
AB22 AB03 + AB54 AB67,0,-1.4519434280161576,4.883623371628674
AB22 AB03 + AB54 AB67 + AB67 AB22,0,-2.1790639337532607,7.349082595711042
AB22 AB03 + AB67 AB22,0,-1.4703830633656194,4.932695857014693
AB22 AB03 + AB81 AB51,0,-0.5039447331076442,1.6150632270458136
AB22 AB09 + AB24 AB22,0,-0.3471055932676365,0.1015989043902981
AB22 AB09 + AB24 AB22 + AB51 AB24,0,-0.4702748262520771,0.1445036299991727
AB22 AB09 + AB28 AB22,0,-0.3764053571065618,0.10629753801814187
AB22 AB09 + AB28 AB22 + AB54 AB28,0,-0.5606999251657542,0.1587955567679522
AB22 AB09 + AB51 AB24,0,-0.3152800220318094,0.09670424487720616
AB22 AB09 + AB54 AB28,0,-0.3764053571065616,0.10629753801814187
AB22 AB28 + AB81 AB02,0,-0.17515422140014264,0.03365915568616722
AB22 AB40 + AB27 AB17,0,-0.5152923308013396,-1.3642007117933934
AB22 AB40 + AB40 AB81,0,-0.4468368331997204,-1.3663956580409347
AB22 AB40 + AB40 AB81 + AB54 AB22,0,-0.695118585403304,-2.0646464874448833
AB22 AB40 + AB54 AB22,0,-0.5127055562985864,-1.3947242499579522
AB22 AB41 + AB41 AB51,0,-0.5178791053040932,-1.3336771736288393
AB22 AB41 + AB41 AB51 + AB54 AB22,0,-0.7661608575076785,-2.031928003032788
AB22 AB41 + AB54 AB22,0,-0.5152923308013387,-1.3642007117933952
AB22 AB54 + AB28 AB67,0,-0.507000410499137,1.5847095625200889
AB22 AB54 + AB28 AB67 + AB67 AB22,0,-0.7493739124115043,2.406529303880879
AB22 AB54 + AB67 AB22,0,-0.5039447331076429,1.6150632270458054
AB22 AB59 + AB28 AB03,0,-0.00495715647147727,-1.0042243817011858
AB22 AB59 + AB28 AB03 + AB59 AB28,0,-0.011202073863049373,-1.4956413210155242
AB22 AB59 + AB40 AB22,0,-0.04055835085770538,-1.0594864617691384
AB22 AB59 + AB45 AB22,0,0.38396047662248634,-0.70131267410468
AB22 AB59 + AB45 AB22 + AB51 AB45,0,0.5641389921415106,-1.044368553804696
AB22 AB59 + AB51 AB45,0,0.20354563866202352,-0.8422753212738912
AB22 AB59 + AB59 AB28,0,0.017122205751427037,-0.9906363808882136
AB22 AB67 + AB69 AB22,0,-0.18944107820935094,0.035825268997241984
AB22 AB67 + AB81 AB02,0,-0.6316684144899678,0.12782438813832536
AB23 AB22 + AB54 AB08,0,-0.5778930890528243,0.12958797298124153
AB24 AB22 + AB51 AB24,0,-0.2943060890961223,0.09248151958078267
AB24 AB41 + AB28 AB51,0,-0.9678770642736576,0.33638758283867937
AB24 AB41 + AB28 AB51 + AB51 AB24,0,-1.4605539962114011,0.5080064852741771
